epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4706,1.56896,3.27332,1.50857,0.41423,0.46851,0.39775,0.25865,1.40639,2.72144,1.33983,0.09043,9.66667e-05,9.66667e-05
2,24.6167,1.34014,1.60521,1.30663,0.67527,0.58769,0.59131,0.35851,1.56417,2.54932,1.28009,0.08053,0.000196661,0.000196661
3,33.4995,1.28679,1.41765,1.28951,0.84137,0.73691,0.79939,0.50968,1.31449,1.51826,1.18994,0.07063,0.000296634,0.000296634
4,42.3201,1.31196,1.40529,1.30072,0.79315,0.70579,0.79056,0.5101,1.32015,1.9663,1.1781,0.0607299,0.000396569,0.000396569
5,51.0661,1.32763,1.35989,1.29201,0.84573,0.73945,0.82351,0.53042,1.2469,1.76074,1.14961,0.0508298,0.000496449,0.000496449
6,59.9166,1.24298,1.24774,1.25023,0.93021,0.76844,0.84744,0.55349,1.25855,1.22959,1.1316,0.0409296,0.000596258,0.000596258
7,68.8829,1.29284,1.22179,1.26556,0.90978,0.71448,0.82949,0.54272,1.21142,1.49039,1.14201,0.0310293,0.000695979,0.000695979
8,77.5828,1.29022,1.29824,1.30037,0.75167,0.67928,0.78624,0.50302,1.33556,1.92368,1.2284,0.0211289,0.000795597,0.000795597
9,85.9157,1.27803,1.22753,1.26754,0.89677,0.78192,0.85908,0.54408,1.36048,1.14774,1.21589,0.0112284,0.000895094,0.000895094
10,94.286,1.22235,1.20617,1.2646,0.87083,0.77542,0.82628,0.52833,1.30347,1.67254,1.22388,0.00132779,0.000994455,0.000994455
11,102.716,1.25529,1.22486,1.27639,0.89267,0.69205,0.81058,0.53382,1.25309,1.61907,1.1843,0.000997261,0.000997261,0.000997261
12,111.548,1.2367,1.17979,1.25242,0.78632,0.7895,0.85881,0.53882,1.29002,1.60455,1.21161,0.000996687,0.000996687,0.000996687
13,119.916,1.22021,1.18874,1.27143,0.84658,0.80022,0.86347,0.56515,1.27874,1.27538,1.22467,0.000996058,0.000996058,0.000996058
14,128.966,1.24288,1.16077,1.27406,0.92006,0.7398,0.86049,0.52843,1.43388,1.27799,1.25933,0.000995374,0.000995374,0.000995374
15,137.482,1.24404,1.14749,1.26043,0.91175,0.75836,0.84764,0.52027,1.43538,1.30663,1.215,0.000994637,0.000994637,0.000994637
16,146.187,1.20287,1.07296,1.25994,0.88668,0.75799,0.81777,0.50171,1.45366,1.26122,1.30582,0.000993845,0.000993845,0.000993845
17,155.116,1.21268,1.08744,1.25281,0.94455,0.79229,0.88239,0.60496,1.1988,0.97077,1.16566,0.000992999,0.000992999,0.000992999
18,164.738,1.22932,1.10521,1.24752,0.89846,0.84149,0.87857,0.54837,1.31628,1.04586,1.1894,0.000992099,0.000992099,0.000992099
19,173.717,1.17142,1.05662,1.21049,0.9266,0.79837,0.88264,0.59444,1.18105,1.00277,1.20611,0.000991145,0.000991145,0.000991145
20,182.382,1.22042,1.09049,1.24779,0.9185,0.76793,0.87028,0.59951,1.15601,1.04154,1.20128,0.000990137,0.000990137,0.000990137
21,191.083,1.1678,1.06687,1.20722,0.92728,0.80345,0.88238,0.54871,1.4255,1.09825,1.24385,0.000989075,0.000989075,0.000989075
22,199.75,1.17452,1.01642,1.22187,0.89813,0.82597,0.8855,0.55688,1.36417,1.10027,1.20609,0.00098796,0.00098796,0.00098796
23,208.265,1.169,1.00987,1.2132,0.8915,0.85024,0.9017,0.59885,1.21827,1.01085,1.14262,0.000986791,0.000986791,0.000986791
24,216.816,1.17267,1.01447,1.20467,0.94851,0.81109,0.90127,0.61924,1.12295,0.91757,1.13991,0.000985569,0.000985569,0.000985569
25,225.749,1.13765,1.00223,1.20933,0.93965,0.81896,0.89805,0.63505,1.07694,0.88989,1.12139,0.000984293,0.000984293,0.000984293
26,234.571,1.16134,0.97985,1.22869,0.93506,0.8916,0.92283,0.61161,1.1974,0.85606,1.15399,0.000982965,0.000982965,0.000982965
27,243.082,1.15428,0.95675,1.21708,0.94119,0.85644,0.91392,0.60732,1.21931,0.89362,1.15333,0.000981583,0.000981583,0.000981583
28,251.499,1.13608,0.93273,1.19865,0.94392,0.82276,0.88884,0.604,1.22008,0.95548,1.15632,0.000980149,0.000980149,0.000980149
29,260.114,1.17277,0.9977,1.21915,0.93616,0.83805,0.90007,0.57482,1.31916,0.93052,1.17089,0.000978662,0.000978662,0.000978662
30,268.656,1.11879,0.97534,1.20727,0.9453,0.79005,0.88042,0.57459,1.26789,1.01417,1.1822,0.000977122,0.000977122,0.000977122
31,277.349,1.1234,0.96789,1.19758,0.94876,0.85533,0.90059,0.65374,1.04028,0.95645,1.09065,0.000975531,0.000975531,0.000975531
32,286.549,1.14359,0.97615,1.18745,0.94611,0.8394,0.91105,0.61853,1.17498,0.89859,1.11701,0.000973887,0.000973887,0.000973887
33,295.166,1.12697,0.95116,1.19271,0.92329,0.85705,0.89958,0.62994,1.13587,0.9069,1.12175,0.000972191,0.000972191,0.000972191
34,303.682,1.12104,0.94901,1.19856,0.93515,0.8344,0.8861,0.59522,1.22168,0.96573,1.1613,0.000970443,0.000970443,0.000970443
35,312.239,1.10943,0.93551,1.18444,0.88749,0.83759,0.89326,0.63767,1.10404,0.87815,1.10107,0.000968644,0.000968644,0.000968644
36,320.649,1.10231,0.91509,1.17505,0.96188,0.79916,0.90312,0.6176,1.21,0.90478,1.11776,0.000966794,0.000966794,0.000966794
37,329.237,1.11689,0.91739,1.19144,0.92758,0.82098,0.88693,0.60111,1.1358,0.91297,1.11426,0.000964892,0.000964892,0.000964892
38,337.716,1.08486,0.85015,1.16937,0.95139,0.84911,0.90353,0.61257,1.19339,0.90713,1.13028,0.000962939,0.000962939,0.000962939
39,346.166,1.10168,0.89579,1.18866,0.92091,0.86183,0.9088,0.64706,1.09739,0.79744,1.06835,0.000960935,0.000960935,0.000960935
40,354.666,1.12237,0.90568,1.19836,0.93801,0.85606,0.91198,0.62241,1.1719,0.83086,1.09856,0.000958881,0.000958881,0.000958881
41,363.249,1.11116,0.90908,1.18095,0.94977,0.816,0.88376,0.61473,1.19108,0.92164,1.1437,0.000956777,0.000956777,0.000956777
42,372.199,1.07405,0.88163,1.1799,0.94662,0.863,0.91599,0.6594,1.0377,0.78317,1.07541,0.000954623,0.000954623,0.000954623
43,381.019,1.09865,0.89225,1.18391,0.94139,0.85871,0.90358,0.64464,1.11514,0.79517,1.08818,0.000952418,0.000952418,0.000952418
44,389.581,1.08189,0.85383,1.16518,0.92651,0.83692,0.89509,0.61717,1.16079,0.90459,1.12943,0.000950164,0.000950164,0.000950164
45,398.151,1.07863,0.8932,1.16379,0.94204,0.87083,0.91081,0.69697,0.96803,0.79471,1.02438,0.000947861,0.000947861,0.000947861
46,406.949,1.07426,0.88588,1.16523,0.95482,0.84632,0.91482,0.6862,0.96918,0.8226,1.06348,0.000945509,0.000945509,0.000945509
47,415.486,1.08779,0.88315,1.16791,0.94383,0.8737,0.92604,0.65341,1.07624,0.80485,1.08676,0.000943107,0.000943107,0.000943107
48,424.015,1.06149,0.8279,1.14482,0.98195,0.83998,0.91397,0.63621,1.11465,0.80983,1.08158,0.000940658,0.000940658,0.000940658
49,432.532,1.0774,0.83866,1.17807,0.96235,0.80551,0.89767,0.63449,1.04825,0.90417,1.08151,0.00093816,0.00093816,0.00093816
50,440.916,1.06923,0.8335,1.16829,0.96876,0.84885,0.91142,0.67844,0.95347,0.76051,1.04315,0.000935613,0.000935613,0.000935613
51,449.251,1.03907,0.79875,1.15379,0.95757,0.83288,0.89964,0.62286,1.17787,0.86109,1.14502,0.000933019,0.000933019,0.000933019
52,457.949,1.05737,0.82964,1.15112,0.94093,0.84834,0.90039,0.63246,1.15535,0.854,1.11041,0.000930378,0.000930378,0.000930378
53,466.402,1.02635,0.81049,1.13353,0.95708,0.87504,0.90448,0.62902,1.20795,0.86353,1.13406,0.000927689,0.000927689,0.000927689
54,474.898,1.0172,0.80756,1.13242,0.97148,0.87217,0.90835,0.65027,1.11938,0.84568,1.08489,0.000924954,0.000924954,0.000924954
55,483.435,1.05164,0.83732,1.1453,0.95785,0.85475,0.90761,0.65032,1.11031,0.82059,1.08156,0.000922172,0.000922172,0.000922172
56,491.883,1.02352,0.78155,1.14662,0.95798,0.87428,0.90505,0.62261,1.1559,0.8616,1.10924,0.000919343,0.000919343,0.000919343
57,500.515,1.01261,0.79873,1.14701,0.9852,0.81329,0.9132,0.63387,1.12398,0.84013,1.08132,0.000916469,0.000916469,0.000916469
58,509.116,1.05032,0.81052,1.14687,0.9471,0.8503,0.90879,0.64616,1.09325,0.81581,1.0776,0.000913549,0.000913549,0.000913549
59,517.767,1.02856,0.78661,1.1438,0.96255,0.84591,0.91066,0.64025,1.14713,0.80577,1.13476,0.000910584,0.000910584,0.000910584
60,526.3,1.02758,0.79128,1.13524,0.97574,0.85021,0.91159,0.65074,1.11843,0.81951,1.11307,0.000907573,0.000907573,0.000907573
61,534.848,1.02208,0.80458,1.14633,0.96222,0.84729,0.89596,0.62721,1.12588,0.90402,1.10472,0.000904518,0.000904518,0.000904518
